"Income","Gender","Age","Ethnic","Health","HeatBreaks","MiceRats","CracksHoles","BrokenPlaster","WaterLeakage","MaintenanceDef"
17196,"Female",64,"Hispanic",4,5,"No","No","No","No",3
14000,"Male",62,"African-American",3,1,"No","No","No","No",1
14000,"Male",62,"African-American",3,1,"No","No","No","No",1
14000,"Male",62,"African-American",3,1,"No","No","No","No",1
4000,"Male",62,"African-American",3,1,"Yes","No","Yes","No",3
14916,"Male",34,"Hispanic",2,5,"Yes","Yes","Yes","Yes",5
70000,"Male",30,"Caucasian",1,1,"No","No","No","No",1
19386,"Female",51,"Hispanic",3,1,"No","No","No","No",1
19386,"Female",51,"Hispanic",3,1,"No","No","No","No",1
113000,"Male",41,"African-American",1,2,"No","No","No","No",2
20478,"Male",34,"Hispanic",3,1,"Yes","Yes","Yes","Yes",6
20478,"Male",34,"Hispanic",3,1,"Yes","Yes","Yes","Yes",6
20478,"Male",34,"Hispanic",3,1,"Yes","Yes","Yes","Yes",6
20478,"Male",34,"Hispanic",3,1,"Yes","Yes","Yes","Yes",6
20478,"Male",34,"Hispanic",3,1,"Yes","Yes","Yes","Yes",6
20478,"Male",34,"Hispanic",3,1,"Yes","Yes","Yes","Yes",6
20478,"Male",34,"Hispanic",3,1,"Yes","Yes","Yes","Yes",6
20478,"Male",34,"Hispanic",3,1,"Yes","Yes","Yes","Yes",6
48540,"Male",57,"African-American",3,4,"Yes","Yes","Yes","Yes",5
48540,"Male",57,"African-American",3,4,"Yes","Yes","Yes","Yes",5
11000,"Female",54,"Asian",2,1,"No","No","No","No",1
11000,"Female",54,"Asian",2,1,"No","No","No","No",1
35000,"Male",25,"Caucasian",1,4,"Yes","No","No","No",4
38000,"Male",27,"Caucasian",2,2,"No","No","No","Yes",3
33000,"Male",55,"Hispanic",3,1,"Yes","No","No","No",3
33000,"Male",55,"Hispanic",3,1,"Yes","No","No","No",3
33000,"Male",55,"Hispanic",3,1,"Yes","No","No","No",3
15480,"Male",55,"Hispanic",4,1,"Yes","Yes","Yes","No",4
15480,"Male",55,"Hispanic",4,1,"Yes","Yes","Yes","No",4
15480,"Male",55,"Hispanic",4,1,"Yes","Yes","Yes","No",4
15480,"Male",55,"Hispanic",4,1,"Yes","Yes","Yes","No",4
17000,"Female",44,"African-American",4,1,"Yes","Yes","No","No",3
40000,"Female",40,"Caucasian",1,1,"No","No","No","No",1
177530,"Male",29,"Asian",1,1,"No","No","No","No",1
177530,"Male",29,"Asian",1,1,"No","No","No","No",1
177530,"Male",29,"Asian",1,1,"No","No","No","No",1
50050,"Male",48,"Caucasian",2,1,"No","No","No","Yes",2
9999999,"Female",35,"Asian",2,1,"No","No","No","No",1
9999999,"Female",35,"Asian",2,1,"No","No","No","No",1
58000,"Female",46,"Hispanic",3,1,"No","No","No","No",1
58000,"Female",46,"Hispanic",3,1,"No","No","No","No",1
25000,"Male",29,"Caucasian",3,1,"No","No","No","No",1
46000,"Female",38,"Hispanic",2,1,"No","No","No","No",1
46000,"Female",38,"Hispanic",2,1,"No","No","No","No",1
46000,"Female",38,"Hispanic",2,1,"No","No","No","No",1
165000,"Female",47,"Hispanic",3,1,"No","No","No","No",0
69000,"Male",36,"Caucasian",1,2,"No","No","No","No",3
34000,"Female",31,"Hispanic",3,1,"Yes","Yes","No","No",4
65000,"Male",38,"Caucasian",2,1,"No","No","No","No",0
190000,"Female",30,"Caucasian",3,1,"No","No","Yes","No",1
190000,"Female",30,"Caucasian",3,1,"No","No","Yes","No",1
190000,"Female",30,"Caucasian",3,1,"No","No","Yes","No",1
46000,"Female",43,"Caucasian",2,1,"No","No","No","No",2
155000,"Male",51,"Hispanic",3,1,"Yes","No","No","No",2
155000,"Male",51,"Hispanic",3,1,"Yes","No","No","No",2
155000,"Male",51,"Hispanic",3,1,"Yes","No","No","No",2
155000,"Male",51,"Hispanic",3,1,"Yes","No","No","No",2
80000,"Male",34,"Caucasian",2,1,"No","No","No","No",0
160000,"Female",48,"Caucasian",3,1,"No","No","No","No",1
160000,"Female",48,"Caucasian",3,1,"No","No","No","No",1
549840,"Female",51,"Caucasian",3,4,"No","No","Yes","Yes",4
549840,"Female",51,"Caucasian",3,4,"No","No","Yes","Yes",4
549840,"Female",51,"Caucasian",3,4,"No","No","Yes","Yes",4
200000,"Female",36,"Caucasian",1,1,"No","No","No","No",0
9360,"Male",79,"Hispanic",4,1,"Yes","No","No","No",2
9360,"Male",79,"Hispanic",4,1,"Yes","No","No","No",2
88000,"Female",72,"Caucasian",1,2,"No","Yes","Yes","Yes",0
88000,"Female",72,"Caucasian",1,2,"No","Yes","Yes","Yes",0
4800,"Male",37,"Hispanic",2,1,"No","No","No","No",2
13500,"Male",48,"Hispanic",3,1,"No","No","No","No",2
13500,"Male",48,"Hispanic",3,1,"No","No","No","No",2
66000,"Female",62,"Caucasian",3,1,"No","No","Yes","No",1
66000,"Female",62,"Caucasian",3,1,"No","No","Yes","No",1
35000,"Female",34,"Hispanic",1,1,"No","No","No","No",1
11500,"Male",25,"Caucasian",2,5,"No","No","No","No",2
11500,"Male",25,"Caucasian",2,5,"No","No","No","No",2
24000,"Male",40,"Hispanic",3,1,"Yes","Yes","Yes","No",3
24000,"Male",40,"Hispanic",3,1,"Yes","Yes","Yes","No",3
24000,"Male",40,"Hispanic",3,1,"Yes","Yes","Yes","No",3
24000,"Male",40,"Hispanic",3,1,"Yes","Yes","Yes","No",3
24000,"Male",40,"Hispanic",3,1,"Yes","Yes","Yes","No",3
20500,"Male",45,"Hispanic",4,1,"Yes","No","Yes","No",3
20500,"Male",45,"Hispanic",4,1,"Yes","No","Yes","No",3
20500,"Male",45,"Hispanic",4,1,"Yes","No","Yes","No",3
15000,"Male",32,"Hispanic",1,1,"No","No","No","No",1
15000,"Male",32,"Hispanic",1,1,"No","No","No","No",1
26000,"Male",49,"African-American",2,1,"Yes","Yes","Yes","No",4
26000,"Male",49,"African-American",2,1,"Yes","Yes","Yes","No",4
26000,"Male",49,"African-American",2,1,"Yes","Yes","Yes","No",4
40000,"Female",29,"Caucasian",1,1,"No","No","No","Yes",3
140000,"Male",45,"Caucasian",2,1,"No","No","No","No",1
70500,"Male",40,"Caucasian",1,1,"No","No","No","No",1
64590,"Female",69,"Hispanic",4,1,"No","No","No","Yes",2
64590,"Female",69,"Hispanic",4,1,"No","No","No","Yes",2
64590,"Female",69,"Hispanic",4,1,"No","No","No","Yes",2
11280,"Male",84,"African-American",4,1,"No","No","No","No",1
37720,"Male",50,"Caucasian",1,4,"No","Yes","Yes","Yes",6
85000,"Male",50,"Caucasian",2,1,"No","No","No","No",1
85000,"Male",50,"Caucasian",2,1,"No","No","No","No",1
44800,"Male",67,"Caucasian",1,1,"No","Yes","No","No",2
163356,"Male",26,"Caucasian",2,1,"No","No","No","No",1
163356,"Male",26,"Caucasian",2,1,"No","No","No","No",1
1560,"Male",42,"African-American",3,1,"No","No","No","No",1
1560,"Male",42,"African-American",3,1,"No","No","No","No",1
1560,"Male",42,"African-American",3,1,"No","No","No","No",1
40000,"Female",44,"Hispanic",4,1,"Yes","Yes","Yes","No",5
40000,"Female",44,"Hispanic",4,1,"Yes","Yes","Yes","No",5
40000,"Female",44,"Hispanic",4,1,"Yes","Yes","Yes","No",5
9999999,"Male",32,"Hispanic",3,1,"Yes","No","No","No",2
141000,"Female",31,"Caucasian",1,1,"No","No","No","No",1
11520,"Female",75,"Asian",3,1,"No","No","No","No",1
11520,"Female",75,"Asian",3,1,"No","No","No","No",1
22200,"Male",67,"Hispanic",3,1,"No","No","No","No",1
50000,"Male",23,"Asian",1,1,"No","No","No","No",2
72520,"Male",51,"Caucasian",1,1,"No","No","No","No",1
72520,"Male",51,"Caucasian",1,1,"No","No","No","No",1
125200,"Female",23,"Caucasian",1,1,"No","No","No","No",1
7992,"Male",61,"Hispanic",5,1,"No","No","No","No",1
7992,"Male",61,"Hispanic",5,1,"No","No","No","No",1
48000,"Male",57,"Asian",3,1,"Yes","No","No","Yes",4
48000,"Male",57,"Asian",3,1,"Yes","No","No","Yes",4
48000,"Male",57,"Asian",3,1,"Yes","No","No","Yes",4
58000,"Male",35,"Hispanic",2,1,"No","No","No","No",1
52000,"Male",68,"African-American",4,1,"No","No","No","No",2
52000,"Male",68,"African-American",4,1,"No","No","No","No",2
52000,"Male",68,"African-American",4,1,"No","No","No","No",2
10500,"Female",36,"Caucasian",2,2,"No","No","No","No",2
48000,"Female",45,"Hispanic",3,1,"Yes","No","No","No",2
70000,"Female",33,"Caucasian",1,1,"No","No","Yes","Yes",3
70000,"Female",33,"Caucasian",1,1,"No","No","Yes","Yes",3
10600,"Female",25,"Caucasian",2,1,"No","No","No","No",1
10600,"Female",25,"Caucasian",2,1,"No","No","No","No",1
108000,"Female",35,"Asian",2,1,"No","No","No","No",2
108000,"Female",35,"Asian",2,1,"No","No","No","No",2
108000,"Female",35,"Asian",2,1,"No","No","No","No",2
70000,"Female",24,"Asian",1,1,"No","No","No","No",1
9300,"Female",47,"African-American",3,2,"Yes","Yes","Yes","Yes",6
80000,"Male",21,"Caucasian",1,1,"No","No","No","No",2
13000,"Male",78,"Hispanic",4,1,"Yes","No","No","No",2
40000,"Male",56,"Caucasian",3,1,"No","No","No","Yes",3
84500,"Female",67,"Asian",2,1,"No","No","No","Yes",2
38580,"Male",34,"Hispanic",4,1,"No","No","No","No",1
38580,"Male",34,"Hispanic",4,1,"No","No","No","No",1
120000,"Male",44,"Caucasian",1,1,"Yes","No","No","Yes",3
1083571,"Female",69,"Caucasian",1,1,"No","No","Yes","No",1
72000,"Female",31,"Caucasian",2,1,"No","No","No","No",2
100000,"Male",22,"Asian",2,1,"No","No","No","No",1
100000,"Male",22,"Asian",2,1,"No","No","No","No",1
100000,"Male",22,"Asian",2,1,"No","No","No","No",1
21333,"Female",22,"Caucasian",2,4,"Yes","No","No","No",3
21333,"Female",22,"Caucasian",2,4,"Yes","No","No","No",3
586640,"Female",28,"Caucasian",1,1,"No","No","No","No",1
18500,"Male",50,"Hispanic",1,1,"No","No","No","No",1
18500,"Male",50,"Hispanic",1,1,"No","No","No","No",1
8074,"Male",77,"Hispanic",5,1,"No","No","No","No",0
8074,"Male",77,"Hispanic",5,1,"No","No","No","No",0
8074,"Male",77,"Hispanic",5,1,"No","No","No","No",0
9000,"Male",55,"African-American",4,1,"No","No","No","Yes",2
9000,"Male",55,"African-American",4,1,"No","No","No","Yes",2
100000,"Female",32,"Asian",2,2,"No","No","No","No",3
100000,"Female",32,"Asian",2,2,"No","No","No","No",3
23200,"Female",23,"Caucasian",2,5,"No","No","No","Yes",4
23200,"Female",23,"Caucasian",2,5,"No","No","No","Yes",4
2100,"Female",27,"Asian",3,1,"No","No","No","No",2
15000,"Female",48,"Hispanic",1,1,"No","No","No","No",1
15000,"Female",48,"Hispanic",1,1,"No","No","No","No",1
60560,"Female",81,"Hispanic",1,1,"No","No","No","No",1
60560,"Female",81,"Hispanic",1,1,"No","No","No","No",1
67000,"Female",27,"Caucasian",1,2,"Yes","No","Yes","Yes",5
67000,"Female",27,"Caucasian",1,2,"Yes","No","Yes","Yes",5
30000,"Female",31,"Other",5,1,"No","No","No","No",1
49000,"Female",33,"Caucasian",2,1,"Yes","No","No","No",2
49000,"Female",33,"Caucasian",2,1,"Yes","No","No","No",2
43000,"Male",47,"Hispanic",5,1,"Yes","Yes","Yes","Yes",4
43000,"Male",47,"Hispanic",5,1,"Yes","Yes","Yes","Yes",4
43000,"Male",47,"Hispanic",5,1,"Yes","Yes","Yes","Yes",4
65000,"Male",33,"Caucasian",1,1,"No","No","No","No",1
22000,"Female",52,"Hispanic",4,1,"Yes","No","No","No",2
22000,"Female",52,"Hispanic",4,1,"Yes","No","No","No",2
15000,"Male",24,"Asian",1,1,"No","No","No","No",1
3565,"Female",23,"Caucasian",1,1,"No","No","Yes","No",1
112500,"Male",47,"Asian",1,1,"No","No","No","No",1
94400,"Female",45,"Asian",1,1,"No","No","Yes","Yes",2
94400,"Female",45,"Asian",1,1,"No","No","Yes","Yes",2
50000,"Male",84,"African-American",3,1,"No","No","No","No",1
50000,"Male",84,"African-American",3,1,"No","No","No","No",1
34000,"Male",61,"Hispanic",3,1,"No","No","No","No",1
34000,"Male",61,"Hispanic",3,1,"No","No","No","No",1
100000,"Male",28,"Caucasian",2,1,"No","No","No","No",1
24000,"Male",28,"Hispanic",3,1,"No","No","No","No",1
10000,"Male",66,"Hispanic",1,1,"No","No","No","No",1
10000,"Male",66,"Hispanic",1,1,"No","No","No","No",1
10000,"Male",66,"Hispanic",1,1,"No","No","No","No",1
37000,"Male",38,"African-American",1,1,"No","No","No","No",1
37000,"Male",38,"African-American",1,1,"No","No","No","No",1
85500,"Male",63,"African-American",2,1,"No","No","Yes","Yes",2
170333,"Male",65,"Asian",3,1,"No","No","Yes","Yes",3
170333,"Male",65,"Asian",3,1,"No","No","Yes","Yes",3
100000,"Male",46,"Caucasian",1,1,"No","Yes","Yes","No",3
100000,"Male",46,"Caucasian",1,1,"No","Yes","Yes","No",3
9840,"Male",57,"Hispanic",4,1,"No","No","No","No",1
9840,"Male",57,"Hispanic",4,1,"No","No","No","No",1
96000,"Male",31,"Asian",1,1,"No","Yes","Yes","Yes",4
96000,"Male",31,"Asian",1,1,"No","Yes","Yes","Yes",4
15168,"Female",77,"Hispanic",4,1,"Yes","Yes","No","No",3
15168,"Female",77,"Hispanic",4,1,"Yes","Yes","No","No",3
22730,"Male",42,"Hispanic",4,1,"Yes","Yes","Yes","Yes",5
22730,"Male",42,"Hispanic",4,1,"Yes","Yes","Yes","Yes",5
22730,"Male",42,"Hispanic",4,1,"Yes","Yes","Yes","Yes",5
22730,"Male",42,"Hispanic",4,1,"Yes","Yes","Yes","Yes",5
37000,"Female",52,"Hispanic",5,1,"Yes","Yes","No","No",4
37000,"Female",52,"Hispanic",5,1,"Yes","Yes","No","No",4
55000,"Male",53,"African-American",2,1,"No","No","No","No",1
38011,"Female",28,"Hispanic",2,1,"No","No","No","No",1
38011,"Female",28,"Hispanic",2,1,"No","No","No","No",1
38011,"Female",28,"Hispanic",2,1,"No","No","No","No",1
190000,"Male",44,"Caucasian",1,1,"No","No","No","No",0
190000,"Male",44,"Caucasian",1,1,"No","No","No","No",0
160000,"Female",26,"Caucasian",4,1,"No","No","No","No",1
160000,"Female",26,"Caucasian",4,1,"No","No","No","No",1
18200,"Female",48,"Asian",3,1,"No","No","Yes","Yes",2
18200,"Female",48,"Asian",3,1,"No","No","Yes","Yes",2
18200,"Female",48,"Asian",3,1,"No","No","Yes","Yes",2
18200,"Female",48,"Asian",3,1,"No","No","Yes","Yes",2
14400,"Female",78,"African-American",3,1,"No","No","No","No",1
13600,"Female",69,"Asian",2,1,"No","No","No","No",1
13600,"Female",69,"Asian",2,1,"No","No","No","No",1
75000,"Male",50,"Caucasian",6,1,"Yes","No","No","No",2
118150,"Male",68,"Caucasian",3,1,"No","No","No","No",1
118150,"Male",68,"Caucasian",3,1,"No","No","No","No",1
33328,"Female",68,"Hispanic",4,1,"Yes","No","Yes","No",3
11202,"Male",53,"Hispanic",5,1,"Yes","No","No","No",0
11202,"Male",53,"Hispanic",5,1,"Yes","No","No","No",0
10080,"Female",90,"Asian",4,5,"No","No","No","No",2
10080,"Female",90,"Asian",4,5,"No","No","No","No",2
16304,"Male",27,"Hispanic",2,1,"No","No","No","No",1
175030,"Male",39,"Caucasian",2,1,"No","Yes","No","No",2
21000,"Female",41,"African-American",3,1,"No","No","No","No",1
10000,"Male",27,"Hispanic",3,4,"No","No","No","Yes",3
40000,"Female",42,"Caucasian",5,4,"Yes","Yes","No","No",4
92000,"Male",50,"Caucasian",1,2,"No","No","No","No",3
92000,"Male",50,"Caucasian",1,2,"No","No","No","No",3
80050,"Female",26,"Caucasian",2,2,"Yes","Yes","Yes","Yes",8
80050,"Female",26,"Caucasian",2,2,"Yes","Yes","Yes","Yes",8
22000,"Male",21,"Caucasian",2,1,"No","No","No","Yes",2
22000,"Male",21,"Caucasian",2,1,"No","No","No","Yes",2
72500,"Female",32,"Caucasian",1,1,"No","No","No","No",1
1900,"Female",61,"Hispanic",3,1,"No","Yes","Yes","No",2
1900,"Female",61,"Hispanic",3,1,"No","Yes","Yes","No",2
263356,"Male",65,"Caucasian",1,1,"No","No","No","No",1
263356,"Male",65,"Caucasian",1,1,"No","No","No","No",1
636640,"Male",35,"Caucasian",1,1,"No","No","No","No",1
636640,"Male",35,"Caucasian",1,1,"No","No","No","No",1
57000,"Female",41,"Caucasian",1,1,"No","No","No","No",1
9999999,"Male",22,"Caucasian",1,1,"No","No","No","No",1
536840,"Male",58,"Caucasian",2,1,"No","No","No","No",1
38000,"Male",55,"Hispanic",1,2,"No","No","No","No",2
38000,"Male",55,"Hispanic",1,2,"No","No","No","No",2
62000,"Male",90,"Caucasian",2,1,"No","No","No","No",2
35855,"Male",39,"Caucasian",4,1,"No","No","Yes","Yes",2
36000,"Male",48,"African-American",1,1,"Yes","No","No","No",2
37000,"Male",38,"Hispanic",2,1,"No","No","No","No",1
37000,"Male",38,"Hispanic",2,1,"No","No","No","No",1
9999999,"Female",37,"Asian",3,1,"No","No","No","No",2
480159,"Female",61,"Caucasian",2,1,"No","No","No","No",0
47000,"Female",26,"Caucasian",3,1,"No","No","No","No",1
65000,"Female",24,"Caucasian",2,1,"Yes","Yes","No","No",3
65000,"Female",24,"Caucasian",2,1,"Yes","Yes","No","No",3
63600,"Female",52,"Caucasian",2,1,"No","No","No","No",1
63600,"Female",52,"Caucasian",2,1,"No","No","No","No",1
14208,"Female",72,"African-American",1,1,"No","No","No","No",1
19240,"Female",42,"Hispanic",3,5,"Yes","No","No","No",3
19240,"Female",42,"Hispanic",3,5,"Yes","No","No","No",3
28800,"Male",80,"Other",4,1,"No","No","No","No",2
28800,"Male",80,"Other",4,1,"No","No","No","No",2
44000,"Male",24,"Caucasian",1,1,"No","No","No","No",1
130000,"Female",29,"African-American",1,1,"No","No","No","No",1
130000,"Female",29,"African-American",1,1,"No","No","No","No",1
195000,"Male",57,"Caucasian",1,1,"No","No","Yes","Yes",3
59000,"Male",28,"Caucasian",2,2,"No","No","Yes","Yes",4
100000,"Female",60,"Caucasian",3,1,"No","No","No","No",0
28448,"Female",64,"Hispanic",4,1,"Yes","Yes","Yes","Yes",0
28448,"Female",64,"Hispanic",4,1,"Yes","Yes","Yes","Yes",0
28448,"Female",64,"Hispanic",4,1,"Yes","Yes","Yes","Yes",0
691640,"Female",44,"Asian",1,1,"Yes","Yes","Yes","No",4
691640,"Female",44,"Asian",1,1,"Yes","Yes","Yes","No",4
59200,"Male",39,"Other",3,5,"No","No","Yes","Yes",6
155000,"Female",35,"Caucasian",1,1,"No","No","No","No",1
155000,"Female",35,"Caucasian",1,1,"No","No","No","No",1
159000,"Female",44,"Caucasian",2,1,"No","No","No","Yes",3
159000,"Female",44,"Caucasian",2,1,"No","No","No","Yes",3
58000,"Female",54,"Caucasian",3,1,"No","No","No","No",1
58000,"Female",54,"Caucasian",3,1,"No","No","No","No",1
54330,"Female",29,"Asian",1,1,"Yes","No","No","No",2
54330,"Female",29,"Asian",1,1,"Yes","No","No","No",2
31025,"Male",61,"Caucasian",1,1,"No","No","No","No",1
127000,"Male",56,"Caucasian",2,1,"No","No","No","No",1
127000,"Male",56,"Caucasian",2,1,"No","No","No","No",1
82000,"Male",30,"Caucasian",1,2,"No","No","Yes","No",3
82000,"Male",30,"Caucasian",1,2,"No","No","Yes","No",3
62000,"Female",21,"Caucasian",2,5,"Yes","Yes","Yes","Yes",7
62000,"Female",21,"Caucasian",2,5,"Yes","Yes","Yes","Yes",7
62000,"Female",21,"Caucasian",2,5,"Yes","Yes","Yes","Yes",7
3600,"Male",64,"Hispanic",1,1,"No","No","No","Yes",3
3600,"Male",64,"Hispanic",1,1,"No","No","No","Yes",3
